name,link
gunjandipak,"https://instagram.com/gunjandipak?utm_source=ig_profile_share&igshid=1v4p5m9sp8lxl
"
hairandmakeupbyyashika,"https://instagram.com/hairandmakeupbyyashika?utm_source=ig_profile_share&igshid=iwcukzdatjqd
"
makeupbymeghnaroda,"https://instagram.com/makeupbymeghnaroda?utm_source=ig_profile_share&igshid=1il0gjfhmyh0p
"
bellablushbysrishty,"https://instagram.com/bellablushbysrishty?utm_source=ig_profile_share&igshid=e16jgduwhlkz
"
pooja_sharma_makeovers,"https://instagram.com/pooja_sharma_makeovers?utm_source=ig_profile_share&igshid=1uc2h72v29utz
"
xpressionssalonbysimmighai,"https://instagram.com/xpressionssalonbysimmighai?utm_source=ig_profile_share&igshid=1od5kmy3s2y7i
"
makeoversbyridhiverma,"https://instagram.com/makeoversbyridhiverma?utm_source=ig_profile_share&igshid=1i5bdvmzye8tz
"
kanikachandamakeupstories,"https://instagram.com/kanikachandamakeupstories?utm_source=ig_profile_share&igshid=1iezsqnpx8avv
"
makeupaddict_jazz,"https://instagram.com/makeupaddict_jazz?utm_source=ig_profile_share&igshid=6cs264yk10dc
"
swativerma,"https://instagram.com/swativerma?utm_source=ig_profile_share&igshid=1r3gg5tb8005j
"
meenakshiduttmakeoversdelhi,"https://instagram.com/meenakshiduttmakeoversdelhi?utm_source=ig_profile_share&igshid=cr945gafrnga
"
meerasakhrani,"https://instagram.com/meerasakhrani?utm_source=ig_profile_share&igshid=1i3427u8sg4hj
"
samairasandhu,"https://instagram.com/samairasandhu?utm_source=ig_profile_share&igshid=1lj16zznrda4r
"
makeupbymadeeha,"https://instagram.com/makeupbymadeeha?utm_source=ig_profile_share&igshid=1myfhi3d3djam
"
parulgargmakeup,"https://instagram.com/parulgargmakeup?utm_source=ig_profile_share&igshid=7rojvoa5ah5z
"
krushhhbykonica,"https://instagram.com/krushhhbykonica?utm_source=ig_profile_share&igshid=1g3xcf8jpnr3s
"
pratishthaarora,"https://instagram.com/pratishthaarora?utm_source=ig_profile_share&igshid=1faofpcuu5kha
"
sakshiurvashi,https://instagram.com/sakshiurvashi?utm_source=ig_profile_share&igshid=8anp8zilu7uu
